,Paragraph
79,"Diese Grundsätze haben das Besondere an sich, daß sie nicht die
Erscheinungen, und die Synthesis ihrer empirischen Anschauung, sondern
bloß das Dasein, und ihr Verhältnis untereinander in Ansehung dieses
ihres Daseins, erwägen. Nun kann die Art, wie etwas in der Erscheinung
apprehendiert wird, a priori dergestalt bestimmt sein, daß die
Regel ihrer Synthesis zugleich diese Anschauung a priori in jedem
vorliegenden empirischen Beispiele geben, d.i.# sie daraus zustande
bringen kann. Allein das Dasein der Erscheinungen kann a priori nicht
erkannt werden, und ob wir gleich auf diesem Wege dahin gelangen
könnten, auf irgendein Dasein zu schließen, so würden wir dieses doch
nicht bestimmt erkennen, d.i.# das, wodurch seine empirische Anschauung
sich von anderen unterschiede, antizipieren können."
80,"Die vorigen zwei Grundsätze, welche ich die mathematischen nannte, in
Betracht dessen, daß sie die Mathematik auf Erscheinungen anzuwenden
berechtigten, gingen auf Erscheinungen ihrer bloßen Möglichkeit nach,
und lehrten, wie sie sowohl ihrer Anschauung, als dem Realen ihrer
Wahrnehmung nach, nach Regeln einer mathematischen Synthesis erzeugt
werden könnten; daher sowohl bei der einen, als bei der anderen die
Zahlgrößen, und, mit ihnen, die Bestimmung der Erscheinung als Größe,
gebraucht werden können. So werde ich z.B. den Grad der Empfindungen
des Sonnenlichts aus etwa 200 000 Erleuchtungen durch den Mond
zusammensetzen und a priori bestimmt geben, d.i.# konstruieren können.
Daher können wir die ersteren Grundsätze konstitutive nennen."
81,"Ganz anders muß es mit denen bewandt sein, die das Dasein der
Erscheinungen a priori unter Regeln bringen sollen. Denn, da dieses
sich nicht konstruieren läßt, so werden sie nur auf das Verhältnis des
Daseins gehen, und keine andere als bloß regulative Prinzipien abgeben
können. Da ist also weder an Axiome, noch an Antizipationen zu denken,
sondern, wenn uns eine Wahrnehmung in einem Zeitverhältnisse gegen
andere (obzwar unbestimmte) gegeben ist, so wird a priori nicht gesagt
werden können: welche andere und wie große Wahrnehmung, sondern, wie
sie dem Dasein nach, in diesem modo der Zeit, mit jener notwendig
verbunden sei. In der Philosophie bedeuten Analogien etwas sehr
Verschiedenes von demjenigen, was sie in der Mathematik vorstellen.
In dieser sind es Formeln, welche die Gleichheit zweier
Größenverhältnisse aussagen, und jederzeit konstitutiv, so, daß, wenn
zwei Glieder der Proportion gegeben sind, auch das dritte dadurch
gegeben wird, d.i.# konstruiert werden kann. In der Philosophie aber
ist die Analogie nicht die Gleichheit zweier quantitativen, sondern
qualitativen Verhältnisse, wo ich aus drei gegebenen Gliedern nur das
Verhältnis zu einem vierten, nicht aber dieses vierte Glied selbst
erkennen, und a priori geben kann, wohl aber eine Regel habe, es in
der Erfahrung zu suchen, und ein Merkmal, es in derselben aufzufinden.
Eine Analogie der Erfahrung wird also nur eine Regel sein, nach
welcher aus Wahrnehmungen Einheit der Erfahrung (nicht wie Wahrnehmung
selbst, als empirische Anschauung überhaupt) entspringen soll, und als
Grundsatz von den Gegenständen (der Erscheinungen) nicht konstitutiv,
sondern bloß regulativ gelten. Ebendasselbe aber wird auch von den
Postulaten des empirischen Denkens überhaupt, welche die Synthesis der
bloßen Anschauung (der Form der Erscheinung), der Wahrnehmung (der
Materie derselben), und der Erfahrung (des Verhältnisses dieser
Wahrnehmungen) zusammen betreffen, gelten, nämlich daß sie nur
regulative Grundsätze sind, und sich von den mathematischen, die
konstitutiv sind, zwar nicht in der Gewißheit, welche in beiden
a priori feststeht, aber doch in der Art der Evidenz, d.i.# dem
Intuitiven derselben (mithin auch der Demonstration) unterscheiden."
82,"Was aber bei allen synthetischen Grundsätzen erinnert ward, und hier
vorzüglich angemerkt werden muß, ist dieses: daß diese Analogien nicht
als Grundsätze des transzendentalen, sondern bloß des empirischen
Verstandesgebrauchs, ihre alleinige Bedeutung und Gültigkeit halben,
mithin auch nur als solche bewiesen werden können, daß folglich die
Erscheinungen nicht unter die Kategorien schlechthin, sondern nur
unter ihre Schemate subsumiert werden müssen. Denn, wären die
Gegenstände, auf welche diese Grundsätze bezogen werden sollen, Dinge
an sich selbst, so wäre es ganz unmöglich, etwas von ihnen a priori
synthetisch zu erkennen. Nun sind es nichts als Erscheinungen, deren
vollständige Erkenntnis, auf die alle Grundsätze a priori zuletzt
doch immer auslaufen müssen, lediglich die mögliche Erfahrung ist,
folglich können jene nichts, als bloß die Bedingungen der Einheit
des empirischen Erkenntnisses in der Synthesis der Erscheinungen zum
Ziele haben; diese aber wird nur allein in dem Schema des reinen
Verstandesbegriffs gedacht, von deren Einheit, als einer Synthesis
überhaupt, die Kategorie die durch keine sinnliche Bedingung
restringierte Funktion enthält. Wir werden also durch diese Grundsätze
die Erscheinungen nur nach einer Analogie, mit der logischen und
allgemeinen Einheit der Begriffe, zusammenzusetzen berechtigt werden,
und daher uns in dem Grundsatze selbst zwar der Kategorie bedienen,
in der Ausführung aber (der Anwendung auf Erscheinungen) das Schema
derselben, als den Schlüssel ihres Gebrauchs, an dessen Stelle, oder
jener vielmehr, als restringierende Bedingung, unter dem Namen einer
Formel des ersteren, zur Seite setzen."
83,Grundsatz der Beharrlichkeit der Substanz.
84,"Bei allem Wechsel der Erscheinungen beharrt die Substanz, und das
Quantum derselben wird in der Natur weder vermehrt noch vermindert."
85,"Alle Erscheinungen sind in der Zeit, in welcher, als Substrat, (als
beharrlicher Form der inneren Anschauung,) das Zugleichsein sowohl als
die Folge allein vorgestellt werden kann. Die Zeit also in der aller
Wechsel der Erscheinungen gedacht werden soll, bleibt und wechselt
nicht; weil sie dasjenige ist, in welchem das Nacheinander- oder
Zugleichsein nur als Bestimmungen derselben vorgestellt werden können.
Nun kann die Zeit für sich nicht wahrgenommen werden. Folglich muß in
den Gegenständen der Wahrnehmung, d.i.# den Erscheinungen, das Substrat
anzutreffen sein, welches die Zeit überhaupt vorstellt, und an dem
aller Wechsel oder Zugleichsein durch das Verhältnis der Erscheinungen
zu demselben in der Apprehension wahrgenommen werden kann. Es ist aber
das Substrat alles Realen, d.i.# zur Existenz der Dinge Gehörigen, die
Substanz, an welcher alles, was zum Dasein gehört, nur als Bestimmung
kann gedacht werden. Folglich ist das Beharrliche, womit in Verhältnis
alle Zeitverhältnisse der Erscheinungen allein bestimmt werden können,
die Substanz in der Erscheinung, d.i.# das Reale derselben, was als
Substrat alles Wechsels immer dasselbe bleibt. Da diese also im Dasein
nicht wechseln kann, so kann ihr Quantum in der Natur auch weder
vermehrt noch vermindert werden."
86,"Unsere Apprehension des Mannigfaltigen der Erscheinung ist jederzeit
sukzessiv, und ist also immer wechselnd. Wir können also dadurch
allein niemals bestimmen, ob dieses Mannigfaltige, als Gegenstand der
Erfahrung, zugleich sei, oder nacheinander folge, wo an ihr nicht
etwas zum Grunde liegt, was jederzeit ist, d.i.# etwas Bleibendes und
Beharrliches, von welchem aller Wechsel und Zugleichsein nichts, als
so viel Arten (modi der Zeit) sind, wie das Beharrliche existiert.
Nur in dem Beharrlichen sind also Zeitverhältnisse möglich (denn
Simultaneität und Sukzession sind die einzigen Verhältnisse in der
Zeit), d.i.# das Beharrliche ist das Substratum der empirischen
Vorstellung der Zeit selbst, an welchem alle Zeitbestimmung allein
möglich ist. Die Beharrlichkeit drückt überhaupt die Zeit, als das
beständige Korrelatum alles Daseins der Erscheinungen, alles Wechsels
und aller Begleitung, aus. Denn der Wechsel trifft die Zeit selbst
nicht, sondern nur die Erscheinungen in der Zeit, (so wie das
Zugleichsein nicht ein modus der Zeit selbst ist, als in welcher gar
keine Teile zugleich, sondern alle nacheinander sind). Wollte man der
Zeit selbst eine Folge nacheinander beilegen, so müßte man noch eine
andere Zeit denken, in welcher diese Folge möglich wäre. Durch das
Beharrliche allein bekommt das Dasein in verschiedenen Teilen der
Zeitreihe nacheinander eine Größe, die man Dauer nennt. Denn in der
bloßen Folge allein ist das Dasein immer verschwindend und anhebend,
und hat niemals die mindeste Größe. Ohne dieses Beharrliche
ist also kein Zeitverhältnis. Nun kann die Zeit an sich selbst
nicht wahrgenommen werden; mithin ist dieses Beharrliche an den
Erscheinungen das Substratum aller Zeitbestimmung, folglich auch
die Bedingung der Möglichkeit aller synthetischen Einheit der
Wahrnehmungen, d.i.# der Erfahrung, und an diesem Beharrlichen kann
alles Dasein und aller Wechsel in der Zeit nur als ein modus der
Existenz dessen, was bleibt und beharrt, angesehen werden. Also ist in
allen Erscheinungen das Beharrliche der Gegenstand selbst, d.i.# die
Substanz (phaenomenon), alles aber, was wechselt, oder wechseln kann,
gehört nur zu der Art, wie diese Substanz oder Substanzen existieren,
mithin zu ihren Bestimmungen."
87,"Ich finde, daß zu allen Zeiten nicht bloß der Philosoph, sondern
selbst der gemeine Verstand diese Beharrlichkeit, als ein Substratum
alles Wechsels der Erscheinungen, vorausgesetzt haben, und auch
jederzeit als ungezweifelt annehmen werden, nur daß der Philosoph
sich hierüber etwas bestimmter ausdrückt, indem er sagt: bei allen
Veränderungen in der Welt bleibt die Substanz, und nur die Akzidenzen
wechseln. Ich treffe aber von diesem so synthetischen Satze nirgends
auch nur den Versuch von einem Beweise an, ja er steht auch nur
selten, wie es ihm doch gebührt, an der Spitze der reinen und völlig a
priori bestehenden Gesetze der Natur. In der Tat ist der Satz, daß die
Substanz beharrlich sei, tautologisch. Denn bloß diese Beharrlichkeit
ist der Grund, warum wir auf die Erscheinung die Kategorie der
Substanz anwenden, und man hätte beweisen müssen, daß in allen
Erscheinungen etwas Beharrliches sei, an welchem das Wandelbare nichts
als Bestimmung seines Daseins ist. Da aber ein solcher Beweis niemals
dogmatisch, d.i.# aus Begriffen, geführt werden kann, weil er einen
synthetischen Satz a priori betrifft, und man niemals daran dachte,
daß dergleichen Sätze nur in Beziehung auf mögliche Erfahrung gültig
sind, mithin auch nur durch eine Deduktion der Möglichkeit der
letzteren bewiesen werden können; so ist kein Wunder, wenn er zwar bei
aller Erfahrung zum Grunde gelegt (weil man dessen Bedürfnis bei der
empirischen Erkenntnis fühlt), niemals aber bewiesen worden ist."
88,"Ein Philosoph wurde gefragt: wieviel wiegt der Rauch? Er antwortete:
ziehe von dem Gewichte des verbrannten Holzes das Gewicht der
übrigbleibenden Asche ab, so hast du das Gewicht des Rauchs. Er setzte
also als unwidersprechlich voraus: daß, selbst im Feuer, die Materie
(Substanz) nicht vergehe, sondern nur die Form derselben eine
Abänderung erleide. Ebenso war der Satz: aus nichts wird nichts, nur
ein anderer Folgesatz aus dem Grundsatze der Beharrlichkeit, oder
vielmehr des immerwährenden Daseins des eigentlichen Subjekts an
den Erscheinungen. Denn, wenn dasjenige an der Erscheinung, was man
Substanz nennen will, das eigentliche Substratum aller Zeitbestimmung
sein soll, so muß sowohl alles Dasein in der vergangenen, als das der
künftigen Zeit, daran einzig und allein bestimmt werden können. Daher
können wir einer Erscheinung nur darum den Namen Substanz geben, weil
wir ihr Dasein zu aller Zeit voraussetzen, welches durch das Wort
Beharrlichkeit nicht einmal wohl ausgedrückt wird, indem dieses mehr
auf künftige Zeit geht. Indessen ist die innere Notwendigkeit zu
beharren, doch unzertrennlich mit der Notwendigkeit, immer gewesen zu
sein, verbunden, und der Ausdruck mag also bleiben. Gigni de nihilo
nihil, in nihilum nil posse reverti, waren zwei Sätze, welche die
Alten unzertrennt verknüpften, und die man aus Mißverstand jetzt
bisweilen trennt, weil man sich vorstellt, daß sie Dinge an sich
selbst angehen, und der erstere der Abhängigkeit der Welt von einer
obersten Ursache (auch sogar ihrer Substanz nach) entgegen sein
dürfte; welche Besorgnis unnötig ist, indem hier nur von Erscheinungen
im Felde der Erfahrung die Rede ist, deren Einheit niemals möglich
sein würde, wenn wir neue Dinge (der Substanz nach) wollten entstehen
lassen. Denn alsdann fiele dasjenige weg, welches die Einheit der
Zeit allein vorstellen kann, nämlich die Identität des Substratum,
als woran aller Wechsel allein durchgängige Einheit hat. Diese
Beharrlichkeit ist indes doch weiter nichts, als die Art, uns das
Dasein der Dinge (in der Erscheinung) vorzustellen."
89,"Die Bestimmungen einer Substanz, die nichts anderes sind, als
besondere Arten derselben zu existieren, heißen Akzidenzen. Sie
sind jederzeit real, weil sie das Dasein der Substanz betreffen,
(Negationen sind nur Bestimmungen, die das Nichtsein von etwas an
der Substanz ausdrücken). Wenn man nun diesem Realen an der Substanz
ein besonderes Dasein beigelegt, (z.E.# der Bewegung, als einem
Akzidens der Materie,) so nennt man dieses Dasein die Inhärenz, zum
Unterschiede vom Dasein der Substanz, die man Subsistenz nennt.
Allein hieraus entspringen viel Mißdeutungen, und es ist genauer und
richtiger geredet, wenn man das Akzidens nur durch die Art, wie das
Dasein einer Substanz positiv bestimmt ist, bezeichnet. Indessen ist
es doch, vermöge der Bedingungen des logischen Gebrauchs unseres
Verstandes, unvermeidlich, dasjenige, was im Dasein einer Substanz
wechseln kann, indessen, daß die Substanz bleibt, gleichsam
abzusondern, und in Verhältnis auf das eigentliche Beharrliche und
Radikale zu betrachten; daher denn auch diese Kategorie unter dem
Titel der Verhältnisse steht, mehr als die Bedingung derselben, als
daß sie selbst ein Verhältnis enthielte."
90,"Auf dieser Beharrlichkeit gründet sich nun auch die Berichtigung
des Begriffs von Veränderung. Entstehen und Vergehen sind nicht
Veränderungen desjenigen, was entsteht oder vergeht. Veränderung ist
eine Art zu existieren, welche auf eine andere Art zu existieren eben
desselben Gegenstandes erfolgt. Daher ist alles, was sich verändert,
bleibend, und nur sein Zustand wechselt. Da dieser Wechsel also nur
die Bestimmungen trifft, die aufhören oder auch anheben können, so
können wir, in einem etwas paradox scheinenden Ausdruck, sagen: nur
das Beharrliche (die Substanz) wird verändert, das Wandelbare erleidet
keine Veränderung, sondern einen Wechsel, da einige Bestimmungen
aufhören, und andere anheben."
91,"Veränderung kann daher nur an Substanzen wahrgenommen werden, und das
Entstehen oder Vergehen, schlechthin, ohne daß es bloß eine Bestimmung
des Beharrlichen betreffe, kann gar keine mögliche Wahrnehmung sein,
weil eben dieses Beharrliche die Vorstellung von dem Übergange aus dem
Zustande in den anderen, und von Nichtsein zum Sein, möglich macht,
die also nur als wechselnde Bestimmungen dessen, was bleibt, empirisch
erkannt werden können. Nehmet an, daß etwas schlechthin anfange zu
sein; so müßt ihr einen Zeitpunkt haben, in dem es nicht war. Woran
wollt ihr aber diesen heften, wenn nicht an demjenigen, was schon da
ist? Denn eine leere Zeit, die vorherginge, ist kein Gegenstand der
Wahrnehmung; knüpft ihr dieses Entstehen aber an Dinge, die vorher
waren, und bis zu dem, was entsteht, fortdauern, so war das letztere
nur eine Bestimmung des ersteren, als des Beharrlichen. Ebenso ist es
auch mit dem Vergehen: denn dieses setzt die empirische Vorstellung
einer Zeit voraus, da eine Erscheinung nicht mehr ist."
92,"Substanzen (in der Erscheinung) sind die Substrate aller
Zeitbestimmungen. Das Entstehen einiger, und das Vergehen anderer
derselben, würde selbst die einzige Bedingung der empirischen Einheit
der Zeit aufheben, und die Erscheinungen würden sich alsdann auf
zweierlei Zeiten beziehen, in denen nebeneinander das Dasein
verflösse, welches ungereimt ist. Denn es ist nur Eine Zeit, in
welcher alle verschiedenen Zeiten nicht zugleich, sondern nacheinander
gesetzt werden müssen."
93,"So ist demnach die Beharrlichkeit eine notwendige Bedingung, unter
welcher allein Erscheinungen, als Dinge oder Gegenstände, in einer
möglichen Erfahrung bestimmbar sind. Was aber das empirische Kriterium
dieser notwendigen Beharrlichkeit und mit ihr der Substantialität der
Erscheinungen sei, davon wird uns die Folge Gelegenheit geben, das
Nötige anzumerken."
94,Zweite Analogie.
95,Grundsatz der Zeitfolge nach dem Gesetze der Kausalität.
96,"Alle Veränderungen geschehen nach dem Gesetze der Verknüpfung der
Ursache und Wirkung."
97,"(Daß alle Erscheinungen der Zeitfolge insgesamt nur Veränderungen,
d.i.# ein sukzessives Sein und Nichtsein der Bestimmungen der Substanz
sind, die da beharrt, folglich das Sein der Substanz selbst, welches
aufs Nichtsein derselben folgt, oder das Nichtsein derselben, welches
aufs Dasein folgt, mit anderen Worten, daß das Entstehen oder Vergehen
der Substanz selbst nicht stattfinde, hat der vorige Grundsatz
dargetan. Dieser hätte auch so ausgedrückt werden können: Aller
Wechsel (Sukzession) der Erscheinungen ist nur Veränderung, denn
Entstehen oder Vergehen der Substanz sind keine Veränderungen
derselben, weil der Begriff der Veränderung eben dasselbe Subjekt
mit zwei entgegengesetzten Bestimmungen als existierend, mithin als
beharrend, voraussetzt. - Nach dieser Vorerinnerung folgt der Beweis.)"
98,"Ich nehme, wahr, daß Erscheinungen aufeinander folgen, d.i.# daß ein
Zustand der Dinge zu einer Zeit ist, dessen Gegenteil im vorigen
Zustande war. Ich verknüpfe also eigentlich zwei Wahrnehmungen in
der Zeit. Nun ist Verknüpfung kein Werk des bloßen Sinnes und der
Anschauung, sondern hier das Produkt eines synthetischen Vermögens
der Einbildungskraft, die den inneren Sinn in Ansehung des
Zeitverhältnisses bestimmt. Diese kann aber gedachte zwei Zustände auf
zweierlei Art verbinden, so, daß der eine oder der andere in der Zeit
vorausgehe; denn die Zeit kann an sich selbst nicht wahrgenommen, und
in Beziehung auf sie gleichsam empirisch, was vorübergehe und was
folge, am Objekte bestimmt werden. Ich bin mir also nur bewußt, daß
meine Imagination eines vorher, das andere nachher setze, nicht daß im
Objekte der eine Zustand vor dem anderen vorhergehe; oder, mit anderen
Worten, es bleibt durch die bloße Wahrnehmung das objektive Verhältnis
der einander folgenden Erscheinungen unbestimmt. Damit dieses nun
als bestimmt erkannt werde, muß das Verhältnis zwischen den beiden
Zuständen so gedacht werden, daß dadurch als notwendig bestimmt
wird, welcher derselben vorher, welcher nachher und nicht umgekehrt
müsse gesetzt werden. Der Begriff aber, der eine Notwendigkeit
der synthetischen Einheit bei sich führt, kann nur ein reiner
Verstandesbegriff sein, der nicht in der Wahrnehmung liegt, und das
ist hier der Begriff des Verhältnisses der Ursache und Wirkung, wovon
die erstere die letztere in der Zeit, als die Folge, und nicht als
etwas, was bloß in der Einbildung vorhergehen (oder gar überall nicht
wahrgenommen sein) könnte, bestimmt. Also ist nur dadurch, daß wir
die Folge der Erscheinungen, mithin alle Veränderung dem Gesetze der
Kausalität unterwerfen, selbst Erfahrung d.i.# empirisches Erkenntnis
von denselben möglich, mithin sind sie selbst, als Gegenstände der
Erfahrung, nur nach eben dem Gesetze möglich."
99,"Die Apprehension des Mannigfaltigen der Erscheinung ist jederzeit
sukzessiv. Die Vorstellungen der Teile folgen aufeinander. Ob sie sich
auch im Gegenstande folgen, ist ein zweiter Punkt der Reflexion, der
in dem ersteren nicht enthalten ist. Nun kann man zwar alles, und
sogar jede Vorstellung, sofern man sich ihrer bewußt ist, Objekt
nennen; allein was dieses Wort bei Erscheinungen zu bedeuten habe,
nicht, insofern sie (als Vorstellungen) Objekte sind, sondern nur ein
Objekt bezeichnen, ist von tieferer Untersuchung. Sofern sie, nur
als Vorstellungen zugleich Gegenstände des Bewußtseins sind, so sind
sie von der Apprehension, d.i.# der Aufnahme in die Synthesis der
Einbildungskraft, gar nicht unterschieden, und man muß also sagen:
das Mannigfaltige der Erscheinungen wird im Gemüt jederzeit sukzessiv
erzeugt. Wären Erscheinungen Dinge an sich selbst, so würde kein
Mensch aus der Sukzession der Vorstellungen von ihrem Mannigfaltigen
ermessen können, wie dieses in dem Objekt verbunden sei. Denn wir
haben es doch nur mit unseren Vorstellungen zu tun; wie Dinge an sich
selbst (ohne Rücksicht auf Vorstellungen, dadurch sie uns affizieren,)
sein mögen, ist gänzlich außer unserer Erkenntnissphäre. Ob nun gleich
die Erscheinungen nicht Dinge an sich selbst, und gleichwohl doch das
einzige sind, was uns zur Erkenntnis gegeben werden kann, so soll ich
anzeigen, was dem Mannigfaltigen an den Erscheinungen selbst für eine
Verbindung in der Zeit zukomme, indessen daß die Vorstellung desselben
in der Apprehension jederzeit sukzessiv ist. So ist z.E.# die
Apprehension des Mannigfaltigen in der Erscheinung eines Hauses, das
vor mir steht, sukzessiv. Nun ist die Frage: ob das Mannigfaltige
dieses Hauses selbst auch in sich sukzessiv sei, welches freilich
niemand zugeben wird. Nun ist aber, sobald ich meine Begriffe von
einem Gegenstande bis zur transzendentalen Bedeutung steigere, das
Haus gar kein Ding an sich selbst, sondern nur eine Erscheinung, d.i.#
Vorstellung, deren transzendentaler Gegenstand unbekannt ist; was
verstehe ich also unter der Frage: wie das Mannigfaltige in der
Erscheinung selbst (die doch nichts an sich selbst ist) verbunden sein
möge? Hier wird das, was in der sukzessiven Apprehension liegt, als
Vorstellung, die Erscheinung aber, die mir gegeben ist, ohnerachtet
sie nichts weiter als ein Inbegriff dieser Vorstellungen ist, als der
Gegenstand derselben betrachtet, mit welchem mein Begriff, den ich aus
den Vorstellungen der Apprehension ziehe, zusammenstimmen soll. Man
sieht bald, daß, weil Übereinstimmung der Erkenntnis mit dem Objekt
Wahrheit ist, hier nur nach den formalen Bedingungen der empirischen
Wahrheit gefragt werden kann, und Erscheinung, im Gegenverhältnis
mit den Vorstellungen der Apprehension, nur dadurch als das davon
unterschiedene Objekt derselben könne vorgestellt werden, wenn sie
unter einer Regel steht, welche sie von jeder anderen Apprehension
unterscheidet, und eine Art der Verbindung des Mannigfaltigen
notwendig macht. Dasjenige an der Erscheinung, was die Bedingung
dieser notwendigen Regel der Apprehension enthält, ist das Objekt."
100,"Nun laßt uns zu unserer Aufgabe fortgehen. Daß etwas geschehe, d.i.#
etwas, oder ein Zustand werde, der vorher nicht war, kann nicht
empirisch wahrgenommen werden, wo nicht eine Erscheinung vorhergeht,
welche diesen Zustand nicht in sich enthält; denn eine Wirklichkeit,
die auf eine leere Zeit folge mithin ein Entstehen, vor dem kein
Zustand der Dinge vorhergeht, kann ebensowenig, als die leere Zeit
selbst apprehendiert werden. Jede Apprehension einer Begebenheit ist
also eine Wahrnehmung, welche auf eine andere folgt. Weil dieses aber
bei aller Synthesis der Apprehension so beschaffen ist, wie ich oben
an der Erscheinung eines Hauses gezeigt habe, so unterscheidet sie
sich dadurch noch nicht von anderen. Allein ich bemerke auch. daß,
wenn ich an einer Erscheinung, welche ein Geschehen enthält, den
vorhergehenden Zustand der Wahrnehmung A, den folgenden aber B nenne,
daß B auf A in der Apprehension nur folgen, die Wahrnehmung A aber auf
B nicht folgen, sondern nur vorhergehen kann. Ich sehe z.B. ein Schiff
den Strom hinabtreiben. Meine Wahrnehmung seiner Stelle unterhalb,
folgt auf die Wahrnehmung der Stelle desselben oberhalb dem Laufe
des Flusses, und es ist unmöglich, daß in der Apprehension dieser
Erscheinung das Schiff zuerst unterhalb, nachher aber oberhalb des
Stromes wahrgenommen werden sollte. Die Ordnung in der Folge der
Wahrnehmungen in der Apprehension ist hier also bestimmt, und an
dieselbe ist die letztere gebunden. In dem vorigen Beispiele von einem
Hause konnten meine Wahrnehmungen in der Apprehension von der Spitze
desselben anfangen, und beim Boden endigen, aber auch von unten
anfangen, und oben endigen, imgleichen rechts oder links das
Mannigfaltige der empirischen Anschauung apprehendieren. In der Reihe
dieser Wahrnehmungen war also keine bestimmte Ordnung, welche es
notwendig machte, wenn ich in der Apprehension anfangen müßte, um das
Mannigfaltige empirisch zu verbinden. Diese Regel aber ist bei der
Wahrnehmung von dem, was geschieht, jederzeit anzutreffen, und sie
macht die Ordnung der einander folgenden Wahrnehmungen (in der
Apprehension dieser Erscheinung) notwendig."
101,"Ich werde also, in unserem Fall, die subjektive Folge der Apprehension
von der objektiven Folge der Erscheinungen ableiten müssen, weil jene
sonst gänzlich unbestimmt ist, und keine Erscheinung von der anderen
unterscheidet. Jene allein beweist nichts von der Verknüpfung des
Mannigfaltigen am Objekt, weil sie ganz beliebig ist. Diese also wird
in der Ordnung des Mannigfaltigen der Erscheinung bestehen, nach
welcher die Apprehension des einen (was geschieht) auf die des anderen
(das vorhergeht) nach einer Regel folgt. Nur dadurch kann ich von der
Erscheinung selbst, und nicht bloß von meiner Apprehension, berechtigt
sein zu sagen: daß in jener eine Folge anzutreffen sei, welches so
viel bedeutet, als daß ich die Apprehension nicht anders anstellen
könne, als gerade in dieser Folge."
102,"Nach einer solchen Regel also muß in dem, was überhaupt vor einer
Begebenheit vorhergeht, die Bedingung zu einer Regel liegen, nach
welcher jederzeit und notwendigerweise diese Begebenheit folgt;
umgekehrt aber kann ich nicht von der Begebenheit zurückgehen, und
dasjenige bestimmen (durch Apprehension) was vorhergeht. Denn von dem
folgenden Zeitpunkt geht keine Erscheinung zu dem vorigen zurück, aber
bezieht sich doch auf irgendeinen vorigen; von einer gegebenen Zeit
ist dagegen der Fortgang auf die bestimmte folgende notwendig. Daher,
weil es doch etwas ist, was folgt, so muß ich es notwendig auf etwas
anderes überhaupt beziehen, was vorhergeht, und worauf es nach einer
Regel, d.i.# notwendigerweise, folgt, so daß die Begebenheit, als das
Bedingte, auf irgendeine Bedingung sichere Anweisung gibt, diese aber
die Begebenheit bestimmt."
103,"Man setze, es gehe vor einer Begebenheit nichts vorher, worauf
dieselbe nach einer Regel folgen müßte, so wäre alle Folge der
Wahrnehmung nur lediglich in der Apprehension, d.i.# bloß subjektiv,
aber dadurch gar nicht objektiv bestimmt, welches eigentlich das
Vorhergehende, und welches das Nachfolgende der Wahrnehmungen sein
müßte. Wir würden auf solche Weise nur ein Spiel der Vorstellungen
haben, das sich auf gar kein Objekt bezöge, d.i.# es würde durch unsere
Wahrnehmung eine Erscheinung von jeder anderen, dem Zeitverhältnisse
nach, gar nicht unterschieden werden; weil die Sukzession im
Apprehendieren allerwärts einerlei, und also nichts in der Erscheinung
ist, was sie bestimmt, so daß dadurch eine gewisse Folge als objektiv
notwendig gemacht wird. Ich werde also nicht sagen: daß in der
Erscheinung zwei Zustände aufeinander folgen; sondern nur: daß eine
Apprehension auf die andere folgt, welches bloß etwas Subjektives ist,
und kein Objekt bestimmt, mithin gar nicht vor Erkenntnis irgendeines
Gegenstandes (selbst nicht in der Erscheinung) gelten kann."
104,"Wenn wir also erfahren, daß etwas geschieht, so setzen wir dabei
jederzeit voraus, daß irgend etwas vorausgehe, worauf es nach einer
Regel folgt. Denn ohne dieses würde ich nicht von dem Objekt sagen,
daß es folge, weil die bloße Folge in meiner Apprehension, wenn sie
nicht durch eine Regel in Beziehung auf ein Vorhergehendes bestimmt
ist, keine Folge im Objekte berechtigt. Also geschieht es immer in
Rücksicht auf eine Regel, nach welcher die Erscheinungen in ihrer
Folge, d.i.# so wie sie geschehen, durch den vorigen Zustand bestimmt
sind, daß ich meine subjektive Synthesis (der Apprehension) objektiv
mache, und, nur lediglich unter dieser Voraussetzung allein, ist
selbst die Erfahrung von etwas, was geschieht, möglich."
